0.2359,0.4375,0.6016,0,0,1,0
0.2141,0.4281,0.5953,0,0,1,0
0.2297,0.4234,0.5516,0,0,1,0
0.2891,0.5297,0.6984,0,0,1,0
0.2875,0.4969,0.6781,0,0,1,0
0.2969,0.4875,0.6719,0,0,1,0
0.2844,0.3938,0.5016,0,0,1,0
0.2891,0.4000,0.5453,0,0,1,0
0.3500,0.4203,0.5609,0,0,1,0
0.2984,0.4625,0.5734,0,0,1,0
0.3031,0.4156,0.5484,0,0,1,0
0.3078,0.4297,0.5672,0,0,1,0
0.3453,0.5203,0.6328,0,0,1,0
0.3516,0.5188,0.6250,0,0,1,0
0.3594,0.5406,0.5906,0,0,1,0
0.3906,0.5766,0.6766,0,0,1,0
0.4031,0.5797,0.7031,0,0,1,0
0.3969,0.5734,0.6953,0,0,1,0
0.2594,0.4703,0.6125,0,0,1,0
0.2531,0.4719,0.6141,0,0,1,0
0.2312,0.4688,0.6187,0,0,1,0
0.3094,0.5578,0.7234,0,0,1,0
0.3094,0.5516,0.7156,0,0,1,0
0.3172,0.5516,0.7141,0,0,1,0
0.3141,0.5500,0.7172,0,0,1,0
0.2219,0.3656,0.4609,0,0,1,0
0.2297,0.3672,0.4750,0,0,1,0
0.2609,0.5016,0.6281,0,0,1,0
0.2703,0.5031,0.6344,0,0,1,0
0.2719,0.5016,0.6266,0,0,1,0
0.2609,0.4953,0.6406,0,0,1,0
0.2688,0.5188,0.6859,0,0,1,0
0.2781,0.5297,0.6797,0,0,1,0
0.2703,0.5172,0.6594,0,0,1,0
0.2141,0.4313,0.5188,0,0,1,0
0.2813,0.4391,0.5562,0,0,1,0
0.2719,0.4281,0.5562,0,0,1,0
0.2875,0.5344,0.6641,0,0,1,0
